ci,co,st,uuid,po,ra,rasc,nw,aw,sf,rs,total,cssc,responses,nh,op,es,ret,rec,tr,bnasc,lsm,hsm
Pueblo,United States,CO,ffc8c95c-bcbc-4587-81d8-2d8ff3033453,110841,13.8147,14,46,43,49,76,54,54,77,7,5,3,2,7,0,4,102,255
Lombard,United States,IL,ffbaed11-58f0-4c17-aa69-e0a51e509f9d,43998,18.5282,19,56,37,42,65,50,50,73,8,8,3,33,14,1,11,37,255
Mildura,Australia,VIC,fe911e7d-0ed8-483e-bb08-8ebb8502690c,38130,33.488,33,40,33,46,75,49,49,33,37,32,34,17,40,14,30,147,255
Asheville,United States,NC,fe5ae74c-7635-4beb-86d1-5a5558235abf,91560,18.0413,18,47,49,44,79,55,55,105,14,10,6,11,11,0,9,83,255
Oviedo,United States,FL,fe257065-1a40-4910-b615-c84a7d1b3f52,40370,15.36,15,0,0,0,0,0,0,0,18,11,9,20,22,0,15,20,255
Fredericksburg,United States,VA,fdc876d5-f864-4e26-846b-7b01cf3ee6c0,28622,27.2076,27,43,47,45,78,53,53,39,29,24,9,25,27,13,21,200,74
Park City,United States,UT,fdbada48-3d9e-493b-a0d4-30e25a25e164,8375,41.0169,41,77,90,36,76,70,70,28,45,33,15,26,52,39,34,255,51
Albuquerque,United States,NM,fd94b0cc-fbb6-4aa9-94c3-b049e5c77096,559374,33.2427,33,54,54,48,82,60,60,139,29,27,20,37,39,11,27,255,255
Decatur,United States,GA,fd7c9fd9-8dbe-4676-836c-631e0af48746,24002,18.9236,19,60,51,47,57,54,54,50,7,11,8,3,26,7,10,19,141
Brandon,Canada,MB,fd783435-cf43-458a-8120-c592bf4ce634,48859,36.43,36,40,26,44,71,45,45,53,42,40,26,33,55,11,34,84,255
Hummelstown,United States,PA,fd4b86c5-0cdc-45e2-8f1c-f96087c3b4bd,4688,18.4843,18,43,43,43,77,52,52,33,25,9,0,5,16,0,10,33,8
Lafayette,United States,CA,fce9b758-c4db-4c61-9375-de3626d8dbcb,26305,23.1428,23,51,28,43,74,49,49,29,24,20,9,10,36,3,17,252,71
Columbus,United States,GA,fbfa03bc-ed48-430f-9bb0-3411f82fe00e,195739,17.6107,18,46,53,44,77,55,55,114,16,9,6,3,7,0,8,118,255
Columbia,United States,MO,fb12b2d7-dfaa-46f3-b63c-4c7b05e7824e,121230,41.2787,41,61,65,39,78,61,61,79,39,32,28,26,49,48,36,255,255
Goleta,United States,CA,fa715864-08f4-4dd0-813c-78ea1a79b732,30975,37.3421,37,59,63,44,72,60,60,30,41,35,28,26,46,14,32,217,74
Corpus Christi,United States,TX,f9e7b251-b542-47f7-832e-831fe0b6a480,325780,14.9407,15,37,26,47,60,43,43,105,12,9,4,6,17,1,8,88,255
Houston,United States,TX,f9667868-ff3e-4595-a3c1-2954ca3cb392,2310432,17.5277,18,41,50,48,75,53,53,256,10,10,7,10,12,3,9,255,255
Bend,United States,OR,f94f4957-4ed1-437a-8737-7263a953a11a,93917,31.3541,31,56,67,46,84,63,63,72,31,23,21,24,40,2,23,255,232
Calgary,Canada,AB,f8d53e2f-a569-48d9-a068-3caaf6c4aed0,1239220,59.492,59,51,63,43,85,60,60,119,54,57,59,70,67,50,59,255,255
Lakeville,United States,MA,f8a2eb4a-bcf7-4558-9a22-6d67687379ec,11372,19.78,20,0,0,0,0,0,0,0,27,18,0,0,35,27,20,19,255
Keene,United States,NH,f8831166-9ffb-4f62-ad9d-e32463c53a85,22953,19.3661,19,56,55,41,76,57,57,33,16,13,3,4,15,0,10,100,255
Carrollton,United States,TX,f83f5bc8-929e-44af-9837-cea9f4db803d,135834,13.8386,14,36,28,45,54,41,41,31,8,6,3,18,8,2,7,32,255
Walnut Creek,United States,CA,f7c8e51f-7555-4ae6-a50a-028ee2e67b92,69567,38.0935,38,61,49,40,66,54,54,35,39,32,36,41,56,0,34,255,100
Westminster,United States,CO,f68c39dc-5ea4-4722-93ce-108625f0d7bb,112962,23.4526,23,52,44,43,75,54,54,78,13,18,9,16,29,12,16,255,255
Plano,United States,TX,f67e8ba9-7081-439b-90cb-e82e2f45a2d6,287064,15.4946,15,44,50,44,73,53,53,124,7,5,4,11,11,1,6,176,255
Memphis,United States,TN,f55fd1b1-bb16-4857-8a0c-53071185827c,651932,19.6293,20,48,57,46,69,55,55,186,18,15,7,6,15,3,11,255,255
Bakersfield,United States,CA,f54afe75-9b39-4e6c-aff5-9df95b3bed3f,377917,19.2094,19,45,43,49,72,52,52,106,21,17,11,0,13,1,11,255,255
Bentonville,United States,AR,f547083f-09b2-47d9-9fb7-f5e51d5e6c62,49467,49.0199,49,61,95,40,88,71,71,103,49,39,38,43,51,0,44,255,167
Gaithersburg,United States,MD,f4a4d9a7-3fe5-4108-8f7d-8825d07d58a0,67742,26.2947,26,38,37,46,66,47,47,36,19,18,18,27,37,11,21,116,255
Williamsburg,United States,VA,f48efcc9-0811-4e82-ae40-1fd56e95f817,14927,32.2097,32,56,51,38,66,53,53,57,32,34,26,9,36,25,27,116,57
Broomfield,United States,CO,f459686a-4866-4524-8ae9-82b066fccf1a,67886,32.4898,32,54,56,43,75,57,57,83,22,24,19,35,40,21,26,255,255
Truckee,United States,CA,f3f03e99-3c92-4d55-91d9-11fb3128a2a0,16474,47.6853,48,55,66,44,83,62,62,40,56,45,23,52,57,39,44,255,119
Port Coquitlam,Canada,BC,f362002b-5aa8-4804-8057-832abe4ff977,58612,35.354,35,54,48,41,72,54,54,77,23,45,22,42,36,16,31,58,251
Overland Park,United States,KS,f3077162-32a7-46d4-b697-72f7494539ae,191011,37.0191,37,45,51,45,66,52,52,129,40,37,25,33,48,18,33,255,255
Guelph,Canada,ON,f303d0ae-23df-43f8-8133-288e6590bf88,131794,35.25,35,53,45,44,79,55,55,115,28,32,20,59,36,11,30,219,255
Bismarck,United States,ND,f2b276e9-7d4f-460f-bd79-e4dfc915f5a8,72777,41.7705,42,46,44,44,76,53,53,59,48,45,29,22,42,50,39,255,197
Euclid,United States,OH,f280260b-8e73-4a67-8683-900372f745ca,47159,24.7381,25,58,33,46,67,51,51,26,23,24,11,14,19,0,18,235,68
Wausau,United States,WI,f26008f8-7450-44cf-9117-ac1080872055,38735,40.1762,40,51,59,43,85,59,59,29,42,36,31,57,35,12,35,255,132
Loveland,United States,CO,f24c091b-4ab3-4a88-bc21-dddb3f91720e,76972,19.9343,20,54,58,46,84,60,60,56,15,11,6,4,22,2,10,138,255
